urn_p1,urn_p2,urn_p3,name,NOTA
br,ac,acrelandia,Acrelândia,
br,ac,assis.brasil,Assis Brasil,
br,ac,brasileia,Brasiléia,
br,ac,bujari,Bujari,
br,ac,capixaba,Capixaba,
br,ac,cruzeiro.sul,Cruzeiro do Sul,
br,ac,epitaciolandia,Epitaciolândia,
br,ac,feijo,Feijó,
br,ac,jordao,Jordão,
br,ac,mancio.lima,Mâncio Lima,
br,ac,manoel.urbano,Manoel Urbano,
br,ac,marechal.thaumaturgo,Marechal Thaumaturgo,
br,ac,placido.castro,Plácido de Castro,
br,ac,porto.acre,Porto Acre,
br,ac,porto.walter,Porto Walter,
br,ac,rio.branco,Rio Branco,
br,ac,rodrigues.alves,Rodrigues Alves,
br,ac,santa.rosa.purus,Santa Rosa do Purus,
br,ac,sena.madureira,Sena Madureira,
br,ac,senador.guiomard,Senador Guiomard,
br,ac,tarauaca,Tarauacá,
br,ac,xapuri,Xapuri,
br,al,agua.branca,Água Branca,
br,al,anadia,Anadia,
br,al,arapiraca,Arapiraca,
br,al,atalaia,Atalaia,
br,al,barra.santo.antonio,Barra de Santo Antônio,
br,al,barra.sao.miguel,Barra de São Miguel,
br,al,batalha,Batalha,
br,al,belem,Belém,
br,al,belo.monte,Belo Monte,
br,al,boca.mata,Boca da Mata,
br,al,branquinha,Branquinha,
br,al,cacimbinhas,Cacimbinhas,
br,al,cajueiro,Cajueiro,
br,al,campestre,Campestre,
br,al,campo.alegre,Campo Alegre,
br,al,campo.grande,Campo Grande,
br,al,canapi,Canapi,
br,al,capela,Capela,
br,al,carneiros,Carneiros,
br,al,cha.preta,Chã Preta,
br,al,coite.noia,Coité do Nóia,
br,al,colonia.leopoldina,Colônia Leopoldina,
br,al,coqueiro.seco,Coqueiro Seco,
br,al,coruripe,Coruripe,
br,al,craibas,Craíbas,
br,al,delmiro.gouveia,Delmiro Gouveia,
br,al,dois.riachos,Dois Riachos,
br,al,estrela.alagoas,Estrela de Alagoas,
br,al,feira.grande,Feira Grande,
br,al,feliz.deserto,Feliz Deserto,
br,al,flexeiras,Flexeiras,
br,al,girau.ponciano,Girau do Ponciano,
br,al,ibateguara,Ibateguara,
br,al,igaci,Igaci,
br,al,igreja.nova,Igreja Nova,
br,al,inhapi,Inhapi,
br,al,jacare.homens,Jacaré dos Homens,
br,al,jacuipe,Jacuípe,
br,al,japaratinga,Japaratinga,
br,al,jaramataia,Jaramataia,
br,al,jequia.praia,Jequiá da Praia,
br,al,joaquim.gomes,Joaquim Gomes,
br,al,jundia,Jundiá,
br,al,junqueiro,Junqueiro,
br,al,lagoa.canoa,Lagoa da Canoa,
br,al,limoeiro.anadia,Limoeiro de Anadia,
br,al,maceio,Maceió,
br,al,major.isidoro,Major Isidoro,
br,al,mar.vermelho,Mar Vermelho,
br,al,maragogi,Maragogi,
br,al,maravilha,Maravilha,
br,al,marechal.deodoro,Marechal Deodoro,
br,al,maribondo,Maribondo,
br,al,mata.grande,Mata Grande,
br,al,matriz.camaragibe,Matriz de Camaragibe,
br,al,messias,Messias,
br,al,minador.negrao,Minador do Negrão,
br,al,monteiropolis,Monteirópolis,
br,al,murici,Murici,
br,al,novo.lino,Novo Lino,
br,al,olho.d.agua.casado,Olho d'Água do Casado,
br,al,olho.d.agua.flores,Olho d'Água das Flores,
br,al,olho.d.agua.grande,Olho d'Água Grande,
br,al,olivenca,Olivença,
br,al,ouro.branco,Ouro Branco,
br,al,palestina,Palestina,
br,al,palmeira.indios,Palmeira dos Índios,
br,al,pao.acucar,Pão de Açúcar,
br,al,pariconha,Pariconha,
br,al,paripueira,Paripueira,
br,al,passo.camaragibe,Passo de Camaragibe,
br,al,paulo.jacinto,Paulo Jacinto,
br,al,penedo,Penedo,
br,al,piacabucu,Piaçabuçu,
br,al,pilar,Pilar,
br,al,pindoba,Pindoba,
br,al,piranhas,Piranhas,
br,al,poco.trincheiras,Poço das Trincheiras,
br,al,porto.calvo,Porto Calvo,
br,al,porto.pedras,Porto de Pedras,
br,al,porto.real.colegio,Porto Real do Colégio,
br,al,quebrangulo,Quebrangulo,
br,al,rio.largo,Rio Largo,
br,al,roteiro,Roteiro,
br,al,santa.luzia.norte,Santa Luzia do Norte,
br,al,santana.ipanema,Santana do Ipanema,
br,al,santana.mundau,Santana do Mundaú,
br,al,sao.bras,São Brás,
br,al,sao.jose.laje,São José da Laje,
br,al,sao.jose.tapera,São José da Tapera,
br,al,sao.luis.quitunde,São Luís do Quitunde,
br,al,sao.miguel.campos,São Miguel dos Campos,
br,al,sao.miguel.milagres,São Miguel dos Milagres,
br,al,sao.sebastiao,São Sebastião,
br,al,satuba,Satuba,
br,al,senador.rui.palmeira,Senador Rui Palmeira,
br,al,tanque.d.arca,Tanque d'Arca,
br,al,taquarana,Taquarana,
br,al,teotonio.vilela,Teotônio Vilela,
br,al,traipu,Traipu,
br,al,uniao.palmares,União dos Palmares,
br,al,vicosa,Viçosa,
br,am,alvaraes,Alvarães,
br,am,amatura,Amaturá,
br,am,anama,Anamã,
br,am,anori,Anori,
br,am,apui,Apuí,
br,am,atalaia.norte,Atalaia do Norte,
br,am,autazes,Autazes,
br,am,barcelos,Barcelos,
br,am,barreirinha,Barreirinha,
br,am,benjamin.constant,Benjamin Constant,
br,am,beruri,Beruri,
br,am,boa.vista.ramos,Boa Vista do Ramos,
br,am,boca.acre,Boca do Acre,
br,am,borba,Borba,
br,am,caapiranga,Caapiranga,
br,am,canutama,Canutama,
br,am,carauari,Carauari,
br,am,careiro,Careiro,
br,am,careiro.varzea,Careiro da Várzea,
br,am,coari,Coari,
br,am,codajas,Codajás,
br,am,eirunepe,Eirunepé,
br,am,envira,Envira,
br,am,fonte.boa,Fonte Boa,
br,am,guajara,Guajará,
br,am,humaita,Humaitá,
br,am,ipixuna,Ipixuna,
br,am,iranduba,Iranduba,
br,am,itacoatiara,Itacoatiara,
br,am,itamarati,Itamarati,
br,am,itapiranga,Itapiranga,
br,am,japura,Japurá,
br,am,jurua,Juruá,
br,am,jutai,Jutaí,
br,am,labrea,Lábrea,
br,am,manacapuru,Manacapuru,
br,am,manaquiri,Manaquiri,
br,am,manaus,Manaus,
br,am,manicore,Manicoré,
br,am,maraa,Maraã,
br,am,maues,Maués,
br,am,nhamunda,Nhamundá,
br,am,nova.olinda.norte,Nova Olinda do Norte,
br,am,novo.airao,Novo Airão,
br,am,novo.aripuana,Novo Aripuanã,
br,am,parintins,Parintins,
br,am,pauini,Pauini,
br,am,presidente.figueiredo,Presidente Figueiredo,
br,am,rio.preto.eva,Rio Preto da Eva,
br,am,santa.isabel.rio.negro,Santa Isabel do Rio Negro,
br,am,santo.antonio.ica,Santo Antônio do Içá,
br,am,sao.gabriel.cachoeira,São Gabriel da Cachoeira,
br,am,sao.paulo.olivenca,São Paulo de Olivença,
br,am,sao.sebastiao.uatuma,São Sebastião do Uatumã,
br,am,silves,Silves,
br,am,tabatinga,Tabatinga,
br,am,tapaua,Tapauá,
br,am,tefe,Tefé,
br,am,tonantins,Tonantins,
br,am,uarini,Uarini,
br,am,urucara,Urucará,
br,am,urucurituba,Urucurituba,
br,ap,amapa,Amapá,
br,ap,calcoene,Calçoene,
br,ap,cutias,Cutias,
br,ap,ferreira.gomes,Ferreira Gomes,
br,ap,itaubal,Itaubal,
br,ap,laranjal.jari,Laranjal do Jari,
br,ap,macapa,Macapá,
br,ap,mazagao,Mazagão,
br,ap,oiapoque,Oiapoque,
br,ap,pedra.branca.amapari,Pedra Branca do Amapari,
br,ap,porto.grande,Porto Grande,
br,ap,pracuuba,Pracuúba,
br,ap,santana,Santana,
br,ap,serra.navio,Serra do Navio,
br,ap,tartarugalzinho,Tartarugalzinho,
br,ap,vitoria.jari,Vitória do Jari,
br,ba,abaira,Abaíra,
br,ba,abare,Abaré,
br,ba,acajutiba,Acajutiba,
br,ba,adustina,Adustina,
br,ba,agua.fria,Água Fria,
br,ba,aiquara,Aiquara,
br,ba,alagoinhas,Alagoinhas,
br,ba,alcobaca,Alcobaça,
br,ba,almadina,Almadina,
br,ba,amargosa,Amargosa,
br,ba,amelia.rodrigues,Amélia Rodrigues,
br,ba,america.dourada,América Dourada,
br,ba,anage,Anagé,
br,ba,andarai,Andaraí,
br,ba,andorinha,Andorinha,
br,ba,angical,Angical,
br,ba,anguera,Anguera,
br,ba,antas,Antas,
br,ba,antonio.cardoso,Antônio Cardoso,
br,ba,antonio.goncalves,Antônio Gonçalves,
br,ba,apora,Aporá,
br,ba,apuarema,Apuarema,
br,ba,aracas,Araças,
br,ba,aracatu,Aracatu,
br,ba,araci,Araci,
br,ba,aramari,Aramari,
br,ba,arataca,Arataca,
br,ba,aratuipe,Aratuípe,
br,ba,aurelino.leal,Aurelino Leal,
br,ba,baianopolis,Baianópolis,
br,ba,baixa.grande,Baixa Grande,
br,ba,banzae,Banzaê,
br,ba,barra,Barra,
br,ba,barra.choca,Barra do Choça,
br,ba,barra.estiva,Barra da Estiva,
br,ba,barra.mendes,Barra do Mendes,
br,ba,barra.rocha,Barra do Rocha,
br,ba,barreiras,Barreiras,
br,ba,barro.alto,Barro Alto,
br,ba,barro.preto,Barro Preto,
br,ba,barrocas,Barrocas,
br,ba,belmonte,Belmonte,
br,ba,belo.campo,Belo Campo,
br,ba,biritinga,Biritinga,
br,ba,boa.nova,Boa Nova,
br,ba,boa.vista.tupim,Boa Vista do Tupim,
br,ba,bom.jesus.lapa,Bom Jesus da Lapa,
br,ba,bom.jesus.serra,Bom Jesus da Serra,
br,ba,boninal,Boninal,
br,ba,bonito,Bonito,
br,ba,boquira,Boquira,
br,ba,botupora,Botuporã,
br,ba,brejoes,Brejões,
br,ba,brejolandia,Brejolândia,
br,ba,brotas.macaubas,Brotas de Macaúbas,
br,ba,brumado,Brumado,
br,ba,buerarema,Buerarema,
br,ba,buritirama,Buritirama,
br,ba,caatiba,Caatiba,
br,ba,cabaceiras.paraguacu,Cabaceiras do Paraguaçu,
br,ba,cachoeira,Cachoeira,
br,ba,cacule,Caculé,
br,ba,caem,Caém,
br,ba,caetanos,Caetanos,
br,ba,caetite,Caetité,
br,ba,cafarnaum,Cafarnaum,
br,ba,cairu,Cairu,
br,ba,caldeirao.grande,Caldeirão Grande,
br,ba,camacan,Camacan,
br,ba,camacari,Camaçari,
br,ba,camamu,Camamu,
br,ba,campo.alegre.lourdes,Campo Alegre de Lourdes,
br,ba,campo.formoso,Campo Formoso,
br,ba,canapolis,Canápolis,
br,ba,canarana,Canarana,
br,ba,canavieiras,Canavieiras,
br,ba,candeal,Candeal,
br,ba,candeias,Candeias,
br,ba,candiba,Candiba,
br,ba,candido.sales,Cândido Sales,
br,ba,cansancao,Cansanção,
br,ba,canudos,Canudos,
br,ba,capela.alto.alegre,Capela do Alto Alegre,
br,ba,capim.grosso,Capim Grosso,
br,ba,caraibas,Caraíbas,
br,ba,caravelas,Caravelas,
br,ba,cardeal.silva,Cardeal da Silva,
br,ba,carinhanha,Carinhanha,
br,ba,casa.nova,Casa Nova,
br,ba,castro.alves,Castro Alves,
br,ba,catolandia,Catolândia,
