
1,1,br,,,,Brasil
2,1,br,sp,,,Estados,São Paulo
3,2,br,sp,campinas,,Municípios,Campinas
3,2,br,sp,sao.carlos,,Municípios,São Carlos
2,1,br,ac,,,Estados,Acre
2,1,br,ro,,,Estados,Rondônia
2,1,br,pana,,,Estados,Paraná
2,1,br,rs,,,Estados,Rio Grande do Sul
2,2,br,df,,,Distrito Federal
3,2,br,pana,apucarana,,Municípios,Apucarana
3,2,br,rs,agudo,,Municípios,Agudo
2,1,br,mg,,,Estados,Minas Gerais
3,2,br,mg,carneirinho,,Municípios,Carneirinho
3,2,br,mg,divinopolis,,Municípios,Divinópolis
2,1,br,to,,,Municípios,Tocantins
2,1,br,es,,,Estados,Espírito Santo
3,2,br,es,cachoeiro.itapemirim,,Municípios,Cachoeiro de Itapemirim
3,2,br,sp,catanduva,,Municípios,Catanduva
2,1,br,paiba,,,Estados,Paraíba
3,2,br,paiba,joao.pessoa,,Municípios,João Pessoa
2,1,br,go,,,Estados,Goiás
3,2,br,go,jatai,,Municípios,Jataí
2,2,br,justica.eleitoral,,,Justiça Eleitoral
3,3,br,justica.eleitoral,paraiba,,Paraíba
2,2,br,justica.trabalho,,,Justiça Trabalho
3,1,br,justica.trabalho,regiao.13,,Brasil,Justiça do Trabalho,13ª Região
4,4,br,justica.eleitoral,paraiba,zona.22,22ª Zona
2,2,br,justica.federal,,,Justiça Federal
3,3,br,justica.federal,regiao.1,,1ª Região
4,4,br,justica.federal,regiao.1,secao.judiciaria,Seção Judiciária
5,5,br,justica.federal,regiao.1,secao.judiciaria,goiasGoiás
2,2,br,ap,,,Amapá
3,3,br,ap,justica.estadual,,Justiça Estadual
4,4,br,ap,justica.estadual,comarca,Comarca
3,2,br,ap,macapa,,Municípios,Macapá
3,2,br,mg,abadia.dourados,,Municípios,Abadia dos Dourados
3,2,br,mg,abaete,,Municípios,Abaeté
3,2,br,mg,abre.campo,,Municípios,Abre Campo
3,2,br,mg,acaiaca,,Municípios,Acaiaca
3,2,br,mg,acucena,,Municípios,Açucena
3,2,br,mg,agua.boa,,Municípios,Água Boa
3,2,br,mg,agua.comprida,,Municípios,Água Comprida
3,2,br,mg,aguanil,,Municípios,Aguanil
3,2,br,mg,aguas.formosas,,Municípios,Águas Formosas
3,2,br,mg,aguas.vermelhas,,Municípios,Águas Vermelhas
3,2,br,mg,aimores,,Municípios,Aimorés
3,2,br,mg,aiuruoca,,Municípios,Aiuruoca
3,2,br,mg,alagoa,,Municípios,Alagoa
3,2,br,mg,albertina,,Municípios,Albertina
3,2,br,mg,alem.paraiba,,Municípios,Além Paraíba
3,2,br,mg,alfenas,,Municípios,Alfenas
3,2,br,mg,alfredo.vasconcelos,,Municípios,Alfredo Vasconcelos
3,2,br,mg,almenara,,Municípios,Almenara
3,2,br,mg,alpercata,,Municípios,Alpercata
3,2,br,mg,alpinopolis,,Municípios,Alpinópolis
3,2,br,mg,alterosa,,Municípios,Alterosa
3,2,br,mg,alto.caparao,,Municípios,Alto Caparaó
3,2,br,mg,alto.jequitiba,,Municípios,Alto Jequitibá
3,2,br,mg,alto.rio.doce,,Municípios,Alto Rio Doce
3,2,br,mg,alvarenga,,Municípios,Alvarenga
3,2,br,mg,alvinopolis,,Municípios,Alvinópolis
3,2,br,mg,alvorada.minas,,Municípios,Alvorada de Minas
3,2,br,mg,amparo.serra,,Municípios,Amparo do Serra
3,2,br,mg,andradas,,Municípios,Andradas
3,2,br,mg,andrelandia,,Municípios,Andrelândia
3,2,br,mg,angelandia,,Municípios,Angelândia
3,2,br,mg,antonio.carlos,,Municípios,Antônio Carlos
3,2,br,mg,antonio.dias,,Municípios,Antônio Dias
3,2,br,mg,antonio.prado.minas,,Municípios,Antônio Prado de Minas
3,2,br,mg,aracai,,Municípios,Araçaí
3,2,br,mg,aracitaba,,Municípios,Aracitaba
3,2,br,mg,aracuai,,Municípios,Araçuaí
3,2,br,mg,araguari,,Municípios,Araguari
3,2,br,mg,arantina,,Municípios,Arantina
3,2,br,mg,araponga,,Municípios,Araponga
3,2,br,mg,arapora,,Municípios,Araporã
3,2,br,mg,arapua,,Municípios,Arapuá
3,2,br,mg,araujos,,Municípios,Araújos
3,2,br,mg,araxa,,Municípios,Araxá
3,2,br,mg,arceburgo,,Municípios,Arceburgo
3,2,br,mg,arcos,,Municípios,Arcos
3,2,br,mg,areado,,Municípios,Areado
3,2,br,mg,argirita,,Municípios,Argirita
3,2,br,mg,aricanduva,,Municípios,Aricanduva
3,2,br,mg,arinos,,Municípios,Arinos
3,2,br,mg,astolfo.dutra,,Municípios,Astolfo Dutra
3,2,br,mg,ataleia,,Municípios,Ataléia
3,2,br,mg,augusto.lima,,Municípios,Augusto de Lima
3,2,br,mg,baependi,,Municípios,Baependi
3,2,br,mg,baldim,,Municípios,Baldim
3,2,br,mg,bambui,,Municípios,Bambuí
3,2,br,mg,bandeira,,Municípios,Bandeira
3,2,br,mg,bandeira.sul,,Municípios,Bandeira do Sul
3,2,br,mg,barao.cocais,,Municípios,Barão de Cocais
3,2,br,mg,barao.monte.alto,,Municípios,Barão do Monte Alto
3,2,br,mg,barbacena,,Municípios,Barbacena
3,2,br,mg,barra.longa,,Municípios,Barra Longa
3,2,br,mg,barroso,,Municípios,Barroso
3,2,br,mg,bela.vista.minas,,Municípios,Bela Vista de Minas
3,2,br,mg,belmiro.braga,,Municípios,Belmiro Braga
3,2,br,mg,belo.horizonte,,Municípios,Belo Horizonte
3,2,br,mg,belo.oriente,,Municípios,Belo Oriente
3,2,br,mg,belo.vale,,Municípios,Belo Vale
3,2,br,mg,berilo,,Municípios,Berilo
3,2,br,mg,berizal,,Municípios,Berizal
3,2,br,mg,bertopolis,,Municípios,Bertópolis
3,2,br,mg,betim,,Municípios,Betim
3,2,br,mg,bias.fortes,,Municípios,Bias Fortes
3,2,br,mg,bicas,,Municípios,Bicas
3,2,br,mg,biquinhas,,Municípios,Biquinhas
3,2,br,mg,boa.esperanca,,Municípios,Boa Esperança
3,2,br,mg,bocaina.minas,,Municípios,Bocaina de Minas
3,2,br,mg,bocaiuva,,Municípios,Bocaiúva
3,2,br,mg,bom.despacho,,Municípios,Bom Despacho
3,2,br,mg,bom.jardim.minas,,Municípios,Bom Jardim de Minas
3,2,br,mg,bom.jesus.penha,,Municípios,Bom Jesus da Penha
3,2,br,mg,bom.jesus.amparo,,Municípios,Bom Jesus do Amparo
3,2,br,mg,bom.jesus.galho,,Municípios,Bom Jesus do Galho
3,2,br,mg,bom.repouso,,Municípios,Bom Repouso
3,2,br,mg,bom.sucesso,,Municípios,Bom Sucesso
3,2,br,mg,bonfim,,Municípios,Bonfim
3,2,br,mg,bonfinopolis.minas,,Municípios,Bonfinópolis de Minas
3,2,br,mg,bonito.minas,,Municípios,Bonito de Minas
3,2,br,mg,borda.mata,,Municípios,Borda da Mata
3,2,br,mg,botelhos,,Municípios,Botelhos
3,2,br,mg,botumirim,,Municípios,Botumirim
3,2,br,mg,bras.pires,,Municípios,Brás Pires
3,2,br,mg,brasilandia.minas,,Municípios,Brasilândia de Minas
3,2,br,mg,brasilia.minas,,Municípios,Brasília de Minas
3,2,br,mg,braunas,,Municípios,Braúnas
3,2,br,mg,brasopolis,,Municípios,Brasópolis
3,2,br,mg,brumadinho,,Municípios,Brumadinho
3,2,br,mg,bueno.brandao,,Municípios,Bueno Brandão
3,2,br,mg,buenopolis,,Municípios,Buenópolis
3,2,br,mg,bugre,,Municípios,Bugre
3,2,br,mg,buritis,,Municípios,Buritis
3,2,br,mg,buritizeiro,,Municípios,Buritizeiro
3,2,br,mg,cabeceira.grande,,Municípios,Cabeceira Grande
3,2,br,mg,cabo.verde,,Municípios,Cabo Verde
3,2,br,mg,cachoeira.prata,,Municípios,Cachoeira da Prata
3,2,br,mg,cachoeira.minas,,Municípios,Cachoeira de Minas
3,2,br,mg,cachoeira.pajeu,,Municípios,Cachoeira do Pajeú
