jurisdicao
br
br;df
br;justica.trabalho;regiao.1
br;justica.trabalho;regiao.12
br;justica.trabalho;regiao.13
br;justica.trabalho;regiao.16
br;justica.trabalho;regiao.24
br;justica.trabalho;regiao.3
br;justica.trabalho;regiao.8
br;mg
br;mg;arinos
br;mg;careacu
br;mg;carmo.paranaiba
br;mg;carneirinho
br;mg;conceicao.ouros
br;mg;divinopolis
br;mg;dom.bosco
br;mg;ponte.nova
br;mg;pouso.alto
br;mg;rio.pomba
br;mg;sao.sebastiao.rio.verde
br;mg;teofilo.otoni
br;mg;uberaba
br;mg;unai
br;pr;cambe
br;rs;acegua
br;rs;agua.santa
br;rs;agudo
br;rs;ajuricaba
br;rs;alecrim
br;rs;alegrete
br;rs;alegria
br;rs;almirante.tamandare.sul
br;rs;alpestre
br;rs;alto.alegre
br;rs;alto.feliz
br;rs;alvorada
br;rs;amaral.ferrador
br;rs;ametista.sul
br;rs;andre.rocha
br;rs;anta.gorda
br;rs;antonio.prado
br;rs;arambare
br;rs;ararica
br;rs;aratiba
br;rs;arroio.grande
br;rs;arroio.meio
br;rs;arroio.padre
br;rs;arroio.ratos
br;rs;arroio.sal
br;rs;arroio.tigre
br;rs;arvorezinha
br;rs;augusto.pestana
br;rs;aurea
br;rs;bage
br;rs;balneario.pinhal
br;rs;barao
br;rs;barao.cotegipe
br;rs;barao.triunfo
br;rs;barra.funda
br;rs;barra.guarita
br;rs;barra.quarai
br;rs;barra.ribeiro
br;rs;barra.rio.azul
br;rs;barracao
br;rs;barros.cassal
br;rs;benjamin.constant.sul
br;rs;bento.goncalves
br;rs;boa.vista.burica
br;rs;boa.vista.cadeado
br;rs;boa.vista.incra
br;rs;boa.vista.missoes
br;rs;boa.vista.sul
br;rs;bom.jesus
br;rs;bom.principio
br;rs;bom.progresso
br;rs;bom.retiro.sul
br;rs;boqueirao.leao
br;rs;bossoroca
br;rs;bozano
br;rs;braga
br;rs;brochier
br;rs;butia
br;rs;cacapava.sul
br;rs;cacequi
br;rs;cachoeira.sul
br;rs;cachoeirinha
br;rs;cacique.doble
br;rs;caibate
br;rs;caicara
br;rs;camaqua
br;rs;camargo
br;rs;cambara.sul
br;rs;campestre.serra
br;rs;campina.missoes
br;rs;campinas.sul
br;rs;campo.bom
br;rs;campo.novo
br;rs;campos.borges
br;rs;candelaria
br;rs;candido.godoi
br;rs;candiota
br;rs;canela
br;rs;cangucu
br;rs;canoas
br;rs;canudos.vale
br;rs;capao.bonito.sul
br;rs;capao.canoa
br;rs;capao.cipo
br;rs;capao.leao
br;rs;capela.santana
br;rs;capitao
br;rs;capivari.sul
br;rs;caraa
br;rs;carazinho
br;rs;carlos.barbosa
br;rs;carlos.gomes
br;rs;casca
br;rs;caseiros
br;rs;catuipe
br;rs;caxias.sul
br;rs;centenario
br;rs;cerrito
br;rs;cerro.branco
br;rs;cerro.grande
br;rs;cerro.grande.sul
br;rs;cerro.largo
br;rs;chapada
br;rs;charqueadas
br;rs;charrua
br;rs;chiapetta
br;rs;chui
br;rs;chuvisca
br;rs;cidreira
br;rs;ciriaco
br;rs;colinas
br;rs;colorado
br;rs;condor
br;rs;constantina
br;rs;coqueiro.baixo
br;rs;coqueiros.sul
br;rs;coronel.barros
br;rs;coronel.bicaco
br;rs;coronel.pilar
br;rs;cotipora
br;rs;coxilha
br;rs;crissiumal
br;rs;cristal
br;rs;cristal.sul
br;rs;cruz.alta
br;rs;cruzaltense
br;rs;cruzeiro.sul
br;rs;david.canabarro
br;rs;derrubadas
br;rs;dezesseis.novembro
br;rs;dilermando.aguiar
br;rs;dois.irmaos
br;rs;dois.irmaos.missoes
br;rs;dois.lajeados
br;rs;dom.feliciano
br;rs;dom.pedrito
