escopo,name_lex,referencia
dout,rede.virtual.bibliotecas,br
exe,companhia.engenharia.trafego,br-sp-sp
exe,companhia.engenharia.trafego;camara.municipal,br-sp-sp
exe,companhia.metropolitana.habitacao,br-sp-sp
exe,companhia.paulistana.securitizacao,br-sp-sp
exe,companhia.sao.paulo.desenvolvimento.mobilizacao.ativos,br-sp-sp
exe,conselho.gestor.fundo.municipal.saneamento.ambiental.infraestrutura,br-sp-sp
exe,controladoria.geral.municipio,br-sp-sp
exe,departamento.contadoria,br-sp-sp
exe,fundacao.catavento,br-sp-sp
exe,gabinete.prefeito,br-sp-sp
exe,gabinete.secretario.prefeito;ordem.interna,br-sp-sp
exe,instituto.previdencia.municipal,br-sp-sp
exe,instituto.previdencia.municipal;beneficios,br-sp-sp
exe,instituto.previdencia.municipal;divisao.assuntos.internos,br-sp-sp
exe,instituto.previdencia.municipal;divisao.financas.contabilidade,br-sp-sp
exe,instituto.previdencia.municipal;gabinete.superintendente,br-sp-sp
exe,instituto.previdencia.municipal;juridico,br-sp-sp
exe,instituto.previdencia.municipal;licitacao,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.assistencia.social,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.administrativa,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.pessoas,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social;gabinete.secretario,br-sp-sp
exe,secretaria.assistencia.desenvolvimento.social;supervisao.geral.planejamento.controle,br-sp-sp
exe,secretaria.comunicacao,br-sp-sp
exe,secretaria.coordenacao.estagios.tcmsp,br-sp-sp
exe,secretaria.coordenacao.subprefeituras,br-sp-sp
exe,secretaria.coordenacao.subprefeituras;subprefeitura,br-sp-sp
exe,secretaria.coordenacao.subprefeituras;subprefetura,br-sp-sp
exe,secretaria.coordenacao.subprefeituras;superintendencia.usinas.asfalto,br-sp-sp
