name_lex
camara
camara;gabinete.presidente
concursos
concursos;assistencia.desenvolvimento.social
concursos;camara.municipal
concursos;companhia.engenharia.trafego
concursos;companhia.metropolitana.habitacao
concursos;companhia.paulistana.securitizacao
concursos;companhia.sao.paulo.desenvolvimento.mobilizacao.ativos
concursos;comunicacao
concursos;controladoria.geral.municipio
concursos;coordenacao.das.subprefeituras
concursos;cultura
concursos;desenvolvimento.urbano
concursos;direitos.humanos.cidadania
concursos;educacao
concursos;empresa.tecnologia.informacao.comunicacao
concursos;esportes
concursos;financas.desenvolvimento.economico
concursos;gabinete.secretario.prefeito
concursos;governo.municipal
concursos;habitacao
concursos;hospital.servidor.publico.municipal
concursos;infra-estrutura.urbana.obras
concursos;instituto.previdencia.municipal
concursos;licenciamento
concursos;negocios.juridicos
concursos;pessoa.deficiencia.mobilidade.reduzida
concursos;planejamento
concursos;politicas.as.mulheres
concursos;promocao.igualdade.racial
concursos;relacoes.internacionais.federativas
concursos;sao.paulo.negocios
concursos;sao.paulo.obras
concursos;sao.paulo.transportes
concursos;sao.paulo.turismo
concursos;sao.paulo.urbanismo
concursos;saude
concursos;seguranca.urbana
concursos;servico.funerario.municipio.sao.paulo
concursos;servicos
concursos;trabalho.do.empreendedorismo
concursos;transportes
concursos;tribunal.contas
concursos;verde.do.meio.ambiente
despachos
despachos;assistencia.desenvolvimento.social
despachos;comunicacao
despachos;conselho.gestor.fundo.municipal.saneamento.ambiental.infraestrutura
despachos;controladoria.geral.municipio
despachos;coordenacao.das.subprefeituras
despachos;cultura
despachos;desenvolvimento.urbano
despachos;direitos.humanos.cidadania
despachos;educacao
despachos;esportes
despachos;financas.desenvolvimento.economico
despachos;gab.prefeito
despachos;governo.municipal
despachos;habitacao
despachos;hospital.servidor.publico.municipal
despachos;infra-estrutura.urbana.obras
despachos;instituto.previdencia.municipal
despachos;licenciamento
despachos;negocios.juridicos
despachos;pessoa.deficiencia.mobilidade.reduzida
despachos;planejamento
despachos;politicas.as.mulheres
despachos;promocao.igualdade.racial
despachos;relacoes.governamentais
despachos;relacoes.internacionais.federativas
despachos;saude
despachos;seguranca.urbana
despachos;servico.funerario.municipio.sao.paulo
despachos;servicos
despachos;trabalho.do.empreendedorismo
despachos;transportes
despachos;verde.meio.ambiente
editais
editais;assistencia.desenvolvimento.social
editais;camara.municipal
editais;companhia.engenharia.trafego
editais;companhia.metropolitana.habitacao
editais;companhia.paulistana.securitizacao
editais;companhia.sao.paulo.desenvolvimento.mobilizacao.ativos
editais;comunicacao
editais;conselho.gestor.fundo.municipal.saneamento.ambiental.infraestrutura
editais;controladoria.geral.municipio
editais;coordenacao.das.subprefeituras
editais;cultura
editais;desenvolvimento.urbano
editais;direitos.humanos.cidadania
editais;educacao
editais;empresa.cinema.audiovisual.sao.paulo
editais;empresa.tecnologia.informacao.comunicacao
editais;esportes
editais;financas.desenvolvimento.economico
editais;gabinete.secretario.prefeito
editais;governo.municipal
editais;habitacao
editais;hospital.servidor.publico.municipal
editais;infra-estrutura.urbana.obras
editais;instituto.previdencia.municipal
editais;licenciamento
editais;negocios.juridicos
editais;pessoa.deficiencia.mobilidade.reduzida
editais;planejamento
editais;politicas.as.mulheres
editais;promocao.igualdade.racial
editais;relacoes.internacionais.federativas
editais;sao.paulo.negocios
editais;sao.paulo.obras
editais;sao.paulo.transportes
editais;sao.paulo.turismo
editais;sao.paulo.urbanismo
editais;saude
editais;seguranca.urbana
editais;servico.funerario.municipio.sao.paulo
editais;servicos
editais;trabalho.do.empreendedorismo
editais;transportes
editais;tribunal.contas
editais;verde.do.meio.ambiente
licitacoes
licitacoes;assistencia.desenvolvimento.social
licitacoes;camara.municipal
licitacoes;companhia.engenharia.trafego
licitacoes;companhia.metropolitana.habitacao
licitacoes;companhia.paulistana.securitizacao
licitacoes;companhia.sao.paulo.desenvolvimento.mobilizacao.ativos
licitacoes;comunicacao
licitacoes;controladoria.geral.municipio
licitacoes;coordenacao.das.subprefeituras
licitacoes;cultura
licitacoes;depto.contadoria
licitacoes;desenvolvimento.urbano
licitacoes;direitos.humanos.cidadania
licitacoes;educacao
licitacoes;empresa.tecnologia.informacao.comunicacao
licitacoes;esportes
licitacoes;financas.desenvolvimento.economico
licitacoes;fundacao.catavento
licitacoes;gabinete.secretario.prefeito
licitacoes;governo.municipal
licitacoes;habitacao
licitacoes;hospital.servidor.publico.municipal
licitacoes;infra-estrutura.urbana.obras
licitacoes;instituto.previdencia.municipal
licitacoes;licenciamento
licitacoes;negocios.juridicos
licitacoes;pessoa.deficiencia.mobilidade.reduzida
licitacoes;planejamento
licitacoes;politicas.as.mulheres
licitacoes;promocao.igualdade.racial
licitacoes;relacoes.governamentais
licitacoes;relacoes.internacionais.federativas
licitacoes;sao.paulo.negocios
licitacoes;sao.paulo.obras
licitacoes;sao.paulo.transportes
licitacoes;sao.paulo.turismo
licitacoes;sao.paulo.urbanismo
licitacoes;saude
licitacoes;seguranca.urbana
licitacoes;servico.funerario.municipio.sao.paulo
licitacoes;servicos
licitacoes;subsecretaria.tesouro.municipal
licitacoes;trabalho.do.empreendedorismo
licitacoes;transportes
licitacoes;tribunal.contas
licitacoes;verde.do.meio.ambiente
servidores
servidores;assistencia.desenvolvimento.social
servidores;comunicacao
servidores;controladoria.geral.municipio
servidores;coordenacao.das.subprefeituras
servidores;cultura
servidores;desenvolvimento.urbano
servidores;direitos.humanos.cidadania
servidores;educacao
servidores;esportes
servidores;financas.desenvolvimento.economico
servidores;gabinete.prefeito
servidores;governo.municipal
servidores;habitacao
servidores;hospital.servidor.publico.municipal
servidores;infra-estrutura.urbana.obras
servidores;instituto.previdencia.municipal
servidores;licenciamento
servidores;negocios.juridicos
servidores;pessoa.deficiencia.mobilidade.reduzida
servidores;planejamento
servidores;politicas.as.mulheres
servidores;promocao.igualdade.racial
servidores;relacoes.internacionais.federativas
servidores;saude
servidores;seguranca.urbana
servidores;servico.funerario.municipio.sao.paulo
servidores;servicos
servidores;trabalho.do.empreendedorismo
servidores;transportes
servidores;verde.do.meio.ambiente
tcm
tcm;ata.extrato.sessao.plenaria
tcm;coordenacao.estagios.tcmsp
tcm;coordenadoria.recursos.humanos
tcm;despachos.exmo.sr.conselheiro
tcm;despachos.presidente
tcm;despachos.secretario.geral
tcm;despachos.subsecretario.administracao
tcm;escola.contas
tcm;extratos.termos.aditamento
tcm;extratos.termos.contrato
tcm;extratos.termos.rescisao
tcm;extratos.termos.retirratificacao
tcm;extrato.termo.doacao
tcm;juizo.singular
tcm;pauta
tcm;portarias.presidente
tcm;portarias.secretario.geral
tcm;portarias.subsecretaria.administrativa
tcm;relatorios.contabilidade
tcm;retificacoes

