escopo,jurisdicao,autoridade,lexname,name,abbrev,abbrev2,url_acervo,urlTpl_api,url_api_info
exe,br,federal,diario.oficial.uniao,Diário Oficial da União,DOU,DOU,http://portal.imprensanacional.gov.br/acervo-dou,,
exe,br,ministerio.industria.comercio.exterior.servicos;instituto.nacional.propriedade.industrial,revista.propriedade.industrial,Revista da Propriedade Industrial,RPI,,http://revistas.inpi.gov.br/rpi/,,
exe,br;ac,estadual,diario.oficial.estado.acre,Diário Oficial do Estado do Acre,DOE-AC,DOEAC,http://www.diario.ac.gov.br/,,
exe,br;al,estadual,diario.oficial.estado.alagoas,Diário Oficial do Estado de Alagoas,DOE-AL,DOEAL,,,
exe,br;am,estadual,diario.oficial.estado.amazonas,Diário Oficial do Estado do Amazonas,DOE-AM,DOEAM,http://diario.imprensaoficial.am.gov.br/diariooficial/consultaPublica.do,,
exe,br;am;manaus,municipal,diario.oficial.municipio.manaus,Diário Oficial do Município de Manaus,DOM-AM,DOM-MANAUS,http://dom.manaus.am.gov.br/,,
exe,br;ce,estadual,diario.oficial.estado..,Diário Oficial do Estado do Ceará,DOE-CE,DOECE,http://pesquisa.doe.seplag.ce.gov.br/doepesquisa/sead.do?page=ultimasEdicoes&cmd=11&action=Ultimas,,
exe,br;df,distrito.federal,diario.oficial.distrito.federal,Diário Oficial do Distrito Federal,DO-DF,DODF,http://www.dodf.df.gov.br/,,
exe,br;es,estadual,diario.oficial.estado..,Diário Oficial do Estado do Espírito Santo,DOE-ES,DOEES,,,
exe,br;go,estadual,diario.oficial.estado..,Diário Oficial do Estado de Goiás,DOE-GO,DOEGO,http://diariooficial.abc.go.gov.br//?page=diario,,
exe,br;ma,estadual,diario.oficial.estado..,Diário Oficial do Estado do Maranhão,DOE-MA,DOEMA,http://diariooficial.ma.gov.br/public/index.jsf,,
exe,br;mg,estadual,diario.oficial.estado..,Diário Oficial do Estado de Minas Gerais,DOE-MG,DOEMG,http://www.iof.mg.gov.br/index.php?/ultima-edicao.html,,
exe,br;ms,estadual,diario.oficial.estado..,Diário Oficial do Estado do Mato Grosso do Sul,DOE-MS,DOEMS,http://www.spdo.ms.gov.br/diariodoe,,
exe,br;ms;campo.grande,municipal,diario.oficial.municipio..,Diário Oficial do Município de Campo Grande,DOM-MS,DOM-CAMPOG,http://portal.capital.ms.gov.br/diogrande/,,
exe,br;ms;ponta.pora,municipal,diario.oficial.municipio..,Diário Oficial do Município de Ponta Porã,DOM-PTP-MS,DOM-PMG-MS,http://pontapora.ms.gov.br/v2/diario-oficial/,,
exe,br;mt,estadual,diario.oficial.estado..,Diário Oficial do Estado do Mato Grosso,DOE-MT,DOEMT,https://www.iomat.mt.gov.br/,,
exe,br;pa,estadual,diario.oficial.estado..,Diário Oficial do Estado do Pará,DOE-PA,DOEPA,,,
exe,br;pa;belem,municipal,diario.oficial.municipio..,Diário Oficial do Município de Belém,DOM-PA,DOM-BELEM,,,
exe,br;pb,estadual,diario.oficial.estado..,Diário Oficial do Estado da Paraíba,DOE-PB,DOEPB,,,
exe,br;pe,estadual,diario.oficial.estado..,Diário Oficial do Estado de Pernambuco,DOE-PE,DOEPE,,,
exe,br;pi,estadual,diario.oficial.estado..,Diário Oficial do Estado do Piauí,DOE-PI,DOEPI,,,
exe,br;pr,estadual,diario.oficial.estado..,Diário Oficial do Estado do Paraná,DOE-PR,DOEPR,,,
exe,br;pr;curitiba,municipal,diario.oficial.municipio..,Diário Oficial do Município de Curitiba,DOM-CTBA-SP,DOM-CTBA,,,
exe,br;rj,estadual,diario.oficial.estado..,Diário Oficial do Estado do Rio de Janeiro,DOE-RJ,DOERJ,,,
exe,br;rj;campos.goytacazes,municipal,diario.oficial.municipio..,Diário Oficial do Município de Campos dos Goytacazes,DOM-GOY-RJ,,,,
exe,br;rj;sao.goncalo,municipal,diario.oficial.municipio..,Diário Oficial do Município de São Gonçalo,DOM-QSD-RJ,,,,
exe,br;ro,estadual,diario.oficial.estado..,Diário Oficial do Estado de Rondônia,DOE-RO,DOERO,,,
exe,br;rr,estadual,diario.oficial.estado..,Diário Oficial do Estado de Roraima,DOE-RR,DOERR,,,
