urn_p1,urn_p2,urn_p3,urn_p4,name_p1,name_p2,name_p3,NOTA
br,ap,justica.estadual,comarca,Comarca,,,precisa? nao seria altoridade se territorio é AP
br,ap,justica.estadual,,Justiça Estadual,,,correto?
br,justica.eleitoral,,,,,,
br,justica.eleitoral,paraiba,zona.22,?,?,22ª Zona,corrigir
br,justica.eleitoral,paraiba,,Paraíba,,,precisa?
br,justica.federal,regiao.1,secao.judiciaria,Seção Judiciária,,,
br,justica.federal,regiao.1,secao.judiciaria;goias,,,,sem faceta
br,justica.federal,regiao.1,,?,?,1ª Região,corrigir
br,justica.federal,,,?,Justiça Federal,,corrigir e conferir se precisa
br,justica.trabalho,regiao.1,,Brasil,Justiça do Trabalho,1ª Região,
br,justica.trabalho,regiao.12,ararangua,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,balneario.camboriu,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,blumenau,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,brusque,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,cacador,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,canoinhas,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,chapeco,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,concordia,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,criciuma,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,curitibanos,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,florianopolis,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,fraiburgo,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,imbituba,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,indaial,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,itajai,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,jaragua.sul,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,joacaba,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,joinville,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,lages,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,mafra,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,maravilha,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,palhoca,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,porto.uniao,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,rio.sul,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,sao.bento.sul,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,sao.jose,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,sao.miguel.oeste,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,timbo,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,tubarao,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,videira,Distrital,Legislativo,12ª Região,
br,justica.trabalho,regiao.12,xanxere,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.12,,Brasil,Justiça do Trabalho,12ª Região,
br,justica.trabalho,regiao.13,,Brasil,Justiça do Trabalho,13ª Região,
br,justica.trabalho,regiao.15,,?,?,15ª Região,corrigir
br,justica.trabalho,regiao.16,,Brasil,Justiça do Trabalho,16ª Região,
br,justica.trabalho,regiao.18,,?,?,18ª Região,corrigir
br,justica.trabalho,regiao.24,,Brasil,Justiça do Trabalho,24ª Região,
br,justica.trabalho,regiao.3,,Brasil,Justiça do Trabalho,3ª Região,
br,justica.trabalho,regiao.8,abaetetuba,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,altamira,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,ananindeua,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,belem,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,breves,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,capanema,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,castanhal,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,itaituba,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,macapa,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,maraba,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,monte.dourado,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,obidos,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,paragominas,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,parauapebas,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,redencao,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,santa.izabel.para,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,santarem,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,tucurui,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,xinguara,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,regiao.8,,Brasil,Justiça do Trabalho,8ª Região,
br,justica.trabalho,,,?,Justiça Trabalho,,"corrigir, e ver se precisa"
