poder,name_lex
geral,indefinido
leg,camara.municipal
leg,camara.municipal;gabinete.presidente
leg,camara.municipal;gabinete.presidente;agenda.camara.municipal.sao.paulo
leg,camara.municipal;gabinete.presidente;comissao.julgamento.licitacoes
leg,camara.municipal;gabinete.presidente;concursos
leg,camara.municipal;gabinete.presidente;convocacao.almoxarifado
leg,camara.municipal;gabinete.presidente;convocacao.compras
leg,camara.municipal;gabinete.presidente;intimacoes.comissoes.processantes
leg,camara.municipal;gabinete.presidente;mesa.camara
leg,camara.municipal;gabinete.presidente;secretaria.camara
leg,camara.municipal;gabinete.presidente;secretaria.contabilidade
leg,camara.municipal;gabinete.presidente;secretaria.comissoes
leg,camara.municipal;gabinete.presidente;secretaria.registro.parlamentar.revisao
exe,companhia.engenharia.trafego
exe,companhia.engenharia.trafego;camara.municipal
exe,companhia.metropolitana.habitacao
exe,companhia.paulistana.securitizacao
exe,companhia.sao.paulo.desenvolvimento.mobilizacao.ativos
exe,controladoria.geral.municipio
exe,conselho.gestor.fundo.municipal.saneamento.ambiental.infraestrutura
exe,departamento.contadoria
exe,fundacao.catavento
exe,gabinete.prefeito
,
,
exe,gabinete.secretario.prefeito;ordem.interna
exe,gabinete.prefeito
exe,instituto.previdencia.municipal
exe,instituto.previdencia.municipal;beneficios
exe,instituto.previdencia.municipal;divisao.assuntos.internos
exe,instituto.previdencia.municipal;divisao.financas.contabilidade
exe,instituto.previdencia.municipal;gabinete.superintendente
exe,instituto.previdencia.municipal;juridico
exe,instituto.previdencia.municipal;licitacao
exe,sao.paulo.negocios
exe,sao.paulo.obras
exe,sao.paulo.transportes
exe,sao.paulo.turismo
exe,sao.paulo.urbanismo
exe,secretaria.assistencia.desenvolvimento.social
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.assistencia.social
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.administrativa
exe,secretaria.assistencia.desenvolvimento.social;coordenadoria.gestao.pessoas
exe,secretaria.assistencia.desenvolvimento.social;gabinete.secretario
exe,secretaria.assistencia.desenvolvimento.social;supervisao.geral.planejamento.controle
exe,secretaria.comunicacao
exe,secretaria.coordenacao.subprefeituras
exe,secretaria.coordenacao.subprefeituras;subprefeitura
exe,secretaria.coordenacao.subprefeituras;subprefetura
exe,secretaria.coordenacao.subprefeituras;superintendencia.usinas.asfalto
exe,secretaria.coordenacao.subprefeituras;supervisao.transportes.internos
