escopo,tipodocumento,ref
exe,contrato,br-sp-sp
exe,deliberacao,br
exe,enunciado,br
exe,licitacao,br-sp-sp
exe,ordem.servico,br
exe,orientacao.normativa,br
exe,parecer,br
exe,parecer;adc,br
exe,parecer;adi,br
exe,parecer;adpf,br
exe,portaria,br
exe,processo,br
exe,recomendacao,br
exe,regimento.interno,br
exe,resolucao,br
exe,resolucao;inst,br
exe,resolucao;pa,br
exe,resolucao;rcand,br
jud,acordao,br
jud,acordao;a,br
jud,acordao;a.a,br
jud,acordao;a.ag,br
jud,acordao;a.ed,br
jud,acordao;aa,br
jud,acordao;aaag,br
jud,acordao;aag,br
jud,acordao;aaim,br
jud,acordao;aamc,br
jud,acordao;aams,br
jud,acordao;aar,br
jud,acordao;aarespe,br
jud,acordao;aarp,br
jud,acordao;aat,br
jud,acordao;ac,br
jud,acordao;aci,br
jud,acordao;aco,br
jud,acordao;acp,br
jud,acordao;acr,br
jud,acordao;ad,br
jud,acordao;adc,br
jud,acordao;adi,br
jud,acordao;adiv,br
jud,acordao;adpf,br
jud,acordao;aeag,br
jud,acordao;aeapa,br
jud,acordao;aearespe,br
jud,acordao;aeeag,br
jud,acordao;aeear,br
jud,acordao;aeerms,br
jud,acordao;aelt,br
jud,acordao;aemc,br
jud,acordao;aepet,br
jud,acordao;aerespe,br
jud,acordao;aerms,br
jud,acordao;aero,br
jud,acordao;aerp,br
jud,acordao;aeximp,br
jud,acordao;aexsup,br
jud,acordao;ag,br
jud,acordao;ag.ed,br
jud,acordao;ag.re,br
jud,acordao;agpet,br
jud,acordao;agr,br
jud,acordao;agr.ac,br
jud,acordao;agr.agr.ac,br
jud,acordao;agr.agr.agr.respe,br
jud,acordao;agr.agr.ar,br
jud,acordao;agr.agr.respe,br
jud,acordao;agr.ai,br
jud,acordao;agr.ar,br
jud,acordao;agr.ed.respe,br
jud,acordao;agr.exc,br
jud,acordao;agr.hc,br
jud,acordao;agr.hd,br
jud,acordao;agr.ms,br
jud,acordao;agr.pet,br
jud,acordao;agr.rced,br
jud,acordao;agr.rcl,br
jud,acordao;agr.respe,br
jud,acordao;agr.rhc,br
jud,acordao;agr.rms,br
jud,acordao;agr.ro,br
jud,acordao;agr.rp,br
jud,acordao;ahc,br
jud,acordao;ai,br
jud,acordao;ai.ed,br
jud,acordao;ai.rr,br
jud,acordao;aia,br
jud,acordao;aiac,br
jud,acordao;aiag,br
jud,acordao;aire,br
jud,acordao;airma,br
jud,acordao;airma.rma,br
jud,acordao;airo,br
jud,acordao;airo.airr,br
jud,acordao;airo.roaa,br
jud,acordao;airo.roag,br
jud,acordao;airo.roar,br
jud,acordao;airo.rodc,br
jud,acordao;airo.roms,br
jud,acordao;airr,br
jud,acordao;airr.rr,br
jud,acordao;amc,br
jud,acordao;ami,br
jud,acordao;ams,br
jud,acordao;amscol,br
jud,acordao;ao,br
jud,acordao;aoe,br
jud,acordao;ap,br
jud,acordao;apa,br
jud,acordao;apdsf,br
jud,acordao;apet,br
jud,acordao;apn,br
jud,acordao;ar,br
jud,acordao;arced,br
jud,acordao;arcl,br
jud,acordao;are,br
jud,acordao;aresp,br
jud,acordao;arespe,br
jud,acordao;arginc,br
jud,acordao;arhc,br
jud,acordao;arms,br
jud,acordao;aro,br
jud,acordao;arp,br
jud,acordao;arr,br
jud,acordao;arv,br
jud,acordao;as,br
jud,acordao;ass,br
jud,acordao;ca,br
jud,acordao;cat,br
jud,acordao;cauinom,br
jud,acordao;cc,br
jud,acordao;cci,br
jud,acordao;cj,br
jud,acordao;cm,br
jud,acordao;com,br
jud,acordao;cr,br
jud,acordao;ct,br
jud,acordao;dc,br
jud,acordao;dcg,br
jud,acordao;den,br
jud,acordao;e,br
jud,acordao;eaag,br
jud,acordao;eaar,br
jud,acordao;eaarespe,br
jud,acordao;eac,br
jud,acordao;eaerms,br
jud,acordao;eaeximp,br
jud,acordao;eag,br
jud,acordao;eamc,br
jud,acordao;eams,br
jud,acordao;ear,br
jud,acordao;earced,br
jud,acordao;earcl,br
jud,acordao;earespe,br
jud,acordao;earms,br
jud,acordao;earo,br
jud,acordao;earp,br
jud,acordao;ecta,br
jud,acordao;ed,br
