name_lex,referencia
advocacia.geral.uniao,br
advocacia.geral.uniao;centro.estudos.victor.nunes.leal,br
advocacia.geral.uniao;conselho.superior.agu,br
advocacia.geral.uniao;consultoria.geral.uniao,br
advocacia.geral.uniao;consultoria.geral.uniao;consultoria.juridica.mte,br
advocacia.geral.uniao;consultoria.geral.uniao;nucleo.assessoramento.juridico.al,br
advocacia.geral.uniao;corregedoria.geral.agu,br
advocacia.geral.uniao;diretoria.geral.administracao,br
advocacia.geral.uniao;escola.advocacia.geral.uniao,br
advocacia.geral.uniao;gerencia.tecnologia.informacao,br
advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,br
advocacia.geral.uniao;procuradoria.geral.federal,br
advocacia.geral.uniao;procuradoria.geral.federal;adjuntoria.contencioso,br
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.cobranca.recuperacao.creditos,br
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.projetos.assuntos.estrategicos,br
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.dnit,br
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.inss,br
advocacia.geral.uniao;procuradoria.geral.uniao,br
advocacia.geral.uniao;secretaria.geral,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.4,br
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.5,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.6,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.3;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.3;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.1,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.2,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.3,br
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.5,br
conselho.nacional.justica,br
conselho.nacional.justica;plenario,br
conselho.superior.justica.trabalho,br
consultoria.geral.republica,br
primeiro.conselho.contribuintes;camara.1;turma.especial,br
primeiro.conselho.contribuintes;camara.1;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.2;turma.especial,br
primeiro.conselho.contribuintes;camara.2;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.3;turma.especial,br
primeiro.conselho.contribuintes;camara.3;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.4;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.5;turma.especial,br
primeiro.conselho.contribuintes;camara.5;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.6;turma.especial,br
primeiro.conselho.contribuintes;camara.6;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.7;turma.especial,br
primeiro.conselho.contribuintes;camara.7;turma.ordinaria,br
primeiro.conselho.contribuintes;camara.8;turma.especial,br
primeiro.conselho.contribuintes;camara.8;turma.ordinaria,br
procuradoria.geral.republica,br
segundo.conselho.contribuintes;camara.1;turma.especial,br
segundo.conselho.contribuintes;camara.1;turma.ordinaria,br
segundo.conselho.contribuintes;camara.2;turma.ordinaria,br
segundo.conselho.contribuintes;camara.3;turma.especial,br
segundo.conselho.contribuintes;camara.3;turma.ordinaria,br
segundo.conselho.contribuintes;camara.4;turma.ordinaria,br
segundo.conselho.contribuintes;camara.5;turma.ordinaria,br
segundo.conselho.contribuintes;camara.6;turma.especial,br
segundo.conselho.contribuintes;camara.6;turma.ordinaria,br
superior.tribunal.justica,br
superior.tribunal.justica;corte.especial,br
superior.tribunal.justica;presidencia,br
superior.tribunal.justica;secao.1,br
superior.tribunal.justica;secao.2,br
superior.tribunal.justica;secao.3,br
superior.tribunal.justica;secretaria.tribunal,br
superior.tribunal.justica;turma.1,br
superior.tribunal.justica;turma.2,br
superior.tribunal.justica;turma.3,br
superior.tribunal.justica;turma.4,br
superior.tribunal.justica;turma.5,br
superior.tribunal.justica;turma.6,br
superior.tribunal.militar;plenario,br
supremo.tribunal.federal,br
supremo.tribunal.federal;plenario,br
supremo.tribunal.federal;turma.1,br
supremo.tribunal.federal;turma.2,br
supremo.tribunal.federal;turma.3,br
terceiro.conselho.contribuintes;camara.1;turma.especial,br
terceiro.conselho.contribuintes;camara.1;turma.ordinaria,br
terceiro.conselho.contribuintes;camara.2;turma.ordinaria,br
terceiro.conselho.contribuintes;camara.3;turma.especial,br
terceiro.conselho.contribuintes;camara.3;turma.ordinaria,br
tribunal.contas,br
tribunal.contas.municipio,br;sp;sao.paulo
tribunal.contas.municipio;coordenacao.estagios.tcmsp,br;sp;sao.paulo
tribunal.contas.municipio;coordenadoria.recursos.humanos,br;sp;sao.paulo
tribunal.contas.municipio;escola.contas,br;sp;sao.paulo
tribunal.contas.municipio;escola.contas,br;sp;sao.paulo
tribunal.contas.municipio;gabinete.presidente,br;sp;sao.paulo
tribunal.contas.municipio;gabinete.presidente,br;sp;sao.paulo
tribunal.contas.uniao;camara.1,br
tribunal.contas.uniao;camara.2,br
tribunal.contas.uniao;plenario,br
tribunal.regional.trabalho,br
tribunal.regional.trabalho;orgao.especial,br
tribunal.regional.trabalho;secao.dissidios.coletivos,br
tribunal.regional.trabalho;secao.dissidios.individuais,br
tribunal.regional.trabalho;secao.dissidios.individuais.1,br
tribunal.regional.trabalho;secao.dissidios.individuais.2,br
tribunal.regional.trabalho;secao.especializada.1,br
tribunal.regional.trabalho;secao.especializada.2,br
tribunal.regional.trabalho;tribunal.pleno,br
tribunal.regional.trabalho;turma.1,br
tribunal.regional.trabalho;turma.10,br
tribunal.regional.trabalho;turma.2,br
tribunal.regional.trabalho;turma.3,br
tribunal.regional.trabalho;turma.4,br
tribunal.regional.trabalho;turma.5,br
tribunal.regional.trabalho;turma.6,br
tribunal.regional.trabalho;turma.7,br
tribunal.regional.trabalho;turma.8,br
tribunal.regional.trabalho;turma.9,br
tribunal.regional.trabalho;turma.descentralizada,br
tribunal.regional.trabalho;turma.recursal.juiz.fora,br
tribunal.superior.eleitoral;plenario,br
tribunal.superior.trabalho;orgao.especial,br
tribunal.superior.trabalho;secao.administrativa,br
tribunal.superior.trabalho;secao.dissidios.coletivos,br
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.1,br
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.2,br
tribunal.superior.trabalho;tribunal.pleno,br
tribunal.superior.trabalho;turma.1,br
tribunal.superior.trabalho;turma.2,br
tribunal.superior.trabalho;turma.3,br
tribunal.superior.trabalho;turma.4,br
tribunal.superior.trabalho;turma.5,br
tribunal.superior.trabalho;turma.6,br
tribunal.superior.trabalho;turma.7,br
tribunal.superior.trabalho;turma.8,br
