cor,secao,retranca
s2,GABINETE DO PREFEITO,AAAAADM
s2000,LEIS,AABAADM
s2000,DECRETOS,AACAADM
s2000,RAZÕES DE VETO ,AADAADM
s2000,PORTARIAS,AAEAADM
s2000,TITULOS DE NOMEAÇÃO,AAFAADM
s2000,ORDEM INTERNA,AAGAADM
s2000,DESPACHOS DO PREFEITO,AAHAADM
s2000,DESPACHOS DO CHEFE DE GABINETE DO SECRETÁRIO,AAIAADM
s2,SECRETARIAS (DESPACHO),
s5,GOVERNO MUNICIPAL,
s6,GABINETE DO SECRETÁRIO,ABAAADM
s5,RELAÇÕES GOVERNAMENTAIS,ABBBADM
s6,GABINETE DO SECRETÁRIO ESPECIAL,?
s5,SEGURANÇA URBANA,
s6,GABINETE DO SECRETÁRIO,ABCAADM
s10,CENTRO DE FORMAÇÃO EM SEGURANÇA URBANA,ABCABDM
s10,CORREGEDORIA GERAL DA GUARDA CIVIL METROPOLITANA,ABCBADM
s10,GUARDA CIVIL METROPOLITANA,ABCCADM
s6,GCM - DEPTO PESSOAL,ABCCBDM
s6,OUVIDORIA DA GUARDA CIVIL METROPOLITANA,ABCCCDM
s10,SUPERVISÃO GERAL DAS JUNTAS DE SERVIÇO MILITAR,ABDAADM
s10,COORDENADORIA MUNICIPAL DE DEFESA CIVIL - CONDEC,ABEAADM
s5,COMUNICAÇÃO,
s6,GABINETE DO SECRETÁRIO,ABMAADM
s6,RECURSOS HUMANOS,ABMAHDM
s5,TRABALHO E DO EMPREENDEDORISMO,
s6,GABINETE DO SECRETÁRIO,ABNAADM
s6,COMITÊ DE CONSTRUÇÃO DO ESTÁDIO DA COPA DO MUNDO DE FUTEBOL DE 2014,ABNBADM
s6,SUPERVISÃO GERAL DE ABASTECIMENTO,ABNCADM
s11,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,ABNDADM
s5,DIREITOS HUMANOS E CIDADANIA,
s6,GABINETE DO SECRETÁRIO,ABNXIDM
s6,COORDENADORIA DA JUVENTUDE,ABNXJDM
s6,COORDENADORIA DA MULHER,ABNXKDM
s6,COORDENADORIA DE ASSUNTOS DA POPULAÇÃO NEGRA,ABNXLDM
s6,COORDENADORIA DO IDOSO,ABNXMDM
s6,COORDENADORIA DE ASSUNTOS DE DIVERSIDADE SEXUAL,ABNXNDM
s6,COORDENADORIA DE PARTICIPAÇÃO SOCIAL,ABNXODM
s6,CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,ABNXPDM
s6,CONSELHO MUNICIPAL DO IDOSO,ABNXQDM
s6,CONSELHO MUNICIPAL DE POLÍTICAS PÚBLICAS DE DROGAS E ÁLCOOL,ABNXRDM
s6,COMISSÃO DA MEMÓRIA E VERDADE,ABNXSDM
s5,CONTROLADORIA GERAL DO MUNICÍPIO,
s6,GABINETE DO OUVIDOR,ABOAADM
s5,RELAÇÕES INTERNACIONAIS E FEDERATIVAS,
s6,GABINETE DO SECRETÁRIO,ABPAADM
s5,PROMOÇÃO DA IGUALDADE RACIAL,
s6,GABINETE DO SECRETÁRIO,ABQAADM
s5,POLÍTICAS PARA AS MULHERES,
s6,GABINETE DA SECRETÁRIA,ABRAADM
s5,PESSOA COM DEFICIÊNCIA E MOBILIDADE REDUZIDA,
s6,GABINETE DA SECRETÁRIA,ACSAADM
s6,COORDENADORIA GERAL DE RELAÇÕES INSTITUCIONAIS GOVERNAMENTAIS,ACSBADM
s6,COORDENADORIA GERAL DE RELAÇÕES COM A SOCIEDADE CIVIL,ACSCADM
s6,COMISSÃO PERMANENTE DE ACESSIBILIDADE – CPA,ACSDADM
s6,CONSELHO MUNICIPAL DA PESSOA COM DEFICIÊNCIA,ACSEADM
s6,COORDENADORIA DE PROJETOS DE INCLUSÃO - CPI,ACSFADM
s6,COODENADORIA DE ADMINISTRAÇÃO E FINANÇAS,ACSGADM
s5,"PLANEJAMENTO, ORÇAMENTO E GESTÃO",
s6,GABINETE DA SECRETÁRIA,ADAAADM
s6,COMISSÃO CENTRAL DE AVALIAÇÃO DE DOCUMENTOS - CCAD,ADADADM
s10,COORDENADORIA DE GESTÃO DE DOCUMENTOS PÚBLICOS,ADBAADM
s6,COMISSÃO PERMANENTE DE PROCESSOS EXTRAVIADOS - CPPE,ADBBADM
s6,DIVISÃO DOS PROCESSOS MUNICIPAIS,ADBCADM
s6,DIVISÃO DO ARQUIVO MUNICIPAL DE PROCESSOS,ADBDADM
s10,COORDENADORIA DE ADMINISTRAÇÃO E FINANÇAS,ADCAADM
s6,DIVISÃO TÉCNICA DE CONTROLE ORÇAMENTÁRIO,ADCCADM
s6,DIVISÃO FINANCEIRA,ADCCDDM
s10,COORDENADORIA DE GESTÃO DE BENS E SERVIÇOS - COBES,ADCXADM
s6,DEPTO DE GESTÃO DE SUPRIMENTOS E SERVIÇOS - DGSS,ADDAADM
s6,COMISSÃO MUNICIPAL DE CONTROLE  DE PREÇOS DE MATERIAIS - COMPRENS,ADDABDM
s6,"DIVISÃO TÉC. DE PADRONIZAÇÃO, CONTROLE DE QUALIDADE E COMPRAS DE MATERIAIS - DGSS-2",ADDCADM
s6,SEÇÃO DE COMPRAS E SERVIÇOS - DGSS-21,ADDCBDM
s6,SEÇÃO DE CADASTRO DE FORNECEDORES - DGSS-24,ADDCCDM
s6,DIVISÃO TÉC. DE PLANEJAMENTO E GESTÃO DE SUPRIMENTOS - DGSS-4,ADDEADM
s10,COORDENADORIA DE GESTÃO DE PESSOAS - COGEP,ADDXADM
s6,DEPTO DE SAÚDE DO  SERVIDOR - DESS,ADEAADM
s6,DEPTO DE RECURSOS HUMANOS - DERH,ADFAADM
s10,COORDENADORIA DE PLANEJAMENTO - COPLAN,ADJAADM
s10,COORDENADORIA DE PROGRAMAS ESTRATÉGICOS - COPES,ADKAADM
s10,COORDENADORIA DE ORÇAMENTO - CGO,ADLAADM
s10,COORDENADORIA DE GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO – CGTIC,ADNAADM
s10,DEPARTAMENTO DE GESTÃO DO PATRIMÔNIO IMOBILIÁRIO,ADOAADM
s5,COORDENAÇÃO DAS SUBPREFEITURAS,
s6,GABINETE DO SECRETÁRIO,AEAAADM
s6,SUPERVISÃO GERAL DE RECURSOS HUMANOS,AEADADM
s6,SUPERVISÃO GERAL DE ABASTECIMENTO,AEADBDM
s6,UNIDADE DE COMUNICAÇÃO,AEAEADM
s6,COORDENADORIA GERAL DE LICITAÇÃO,AEAFADM
s6,ASSESSORIA TÉCNICA DE ASSUNTOS JURÍDICOS,AEAHADM
s6,SUPERVISÃO GERAL DE USO E OCUPAÇÃO DO SOLO,AEAJADM
s6,ASSESSORIA TÉCNICA DE ASSUNTOS ECONÔMICOS E FINANCEIROS,AEALADM
s6,ASSESSORIA TÉCNICA DE OBRAS,AEANADM
s6,ASSESSORIA TÉCNICA DE SISTEMAS DE INFORMÁTICA,AEAPADM
s10,SUPERINTENDENCIA DAS USINAS DE ASFALTO - SPUA,AEBAADM
s6,SUPERINTENDENCIA DAS USINAS DE ASFALTO - SPUA,AEBBBDM
s10,SUPERVISÃO DE TRANSPORTES INTERNOS - STI,AEDAADM
s5,Aricanduva/Formosa/Carrão,
s6,GABINETE DO SUBPREFEITO,AEHBADM
